,Name,Aggregate Rating,Type,Price,Latitude,Longitude,Sensor ID,Sensor
145,Genki Sushi,2.3,Restaurant,2,-37.8169747013,144.9527935311,58,Bourke St - Spencer St (North)
147,Theobroma Chocolate Lounge,3.0,Desserts,2,-37.8171879127,144.9528907612,58,Bourke St - Spencer St (North)
149,Red Rooster,2.4,Fast Food,2,-37.817429728,144.9531019852,58,Bourke St - Spencer St (North)
151,YASSAS - The Greek Way,3.6,Restaurant,3,-37.8169566909,144.9527003244,58,Bourke St - Spencer St (North)
152,The Burrito Man,3.7,Restaurant,2,-37.8169333833,144.9526822195,58,Bourke St - Spencer St (North)
153,Grains Galore,3.6,Fast Food,2,-37.8174853481,144.9531167373,58,Bourke St - Spencer St (North)
154,Soul Origin,2.9,Cafe,2,-37.816943183,144.9526295811,58,Bourke St - Spencer St (North)
155,Ritz Kebab,3.2,Fast Food,2,-37.8162444808,144.9530195072,58,Bourke St - Spencer St (North)
157,The Pizza Project,2.0,Fast Food,2,-37.8169691393,144.9526148289,58,Bourke St - Spencer St (North)
158,Potto,3.6,Restaurant,3,-37.8171558648,144.9526584148,58,Bourke St - Spencer St (North)
159,Kung Fu Tea,3.1,Beverages,1,-37.8174077449,144.9528629333,58,Bourke St - Spencer St (North)
160,King T,3.2,Beverages,1,-37.8179001136,144.9650394917,22,Flinders St-Elizabeth St (East)
162,Foodao,3.8,Restaurant,1,-37.817878,144.965201,22,Flinders St-Elizabeth St (East)
163,Rocket Burger & Fries,4.2,Fast Food,2,-37.8180026128,144.9650810659,22,Flinders St-Elizabeth St (East)
164,Shujinko Flinders,3.6,Restaurant,3,-37.8180031425,144.9651984125,22,Flinders St-Elizabeth St (East)
165,Walker's Doughnuts,4.1,Desserts,2,-37.8180322766,144.9651330337,22,Flinders St-Elizabeth St (East)
166,Metro Baguette,3.4,Cafe,2,-37.8179411663,144.9653177708,22,Flinders St-Elizabeth St (East)
167,Pepperoni's,2.1,Restaurant,2,-37.8179530848,144.9647340551,22,Flinders St-Elizabeth St (East)
168,Hella Good,3.8,Restaurant,2,-37.8179832783,144.9647444487,22,Flinders St-Elizabeth St (East)
169,Chunky Town,3.7,Fast Food,1,-37.8175997664,144.964922145,22,Flinders St-Elizabeth St (East)
171,Platform 270,3.6,Restaurant,4,-37.8178889897,144.9654837325,22,Flinders St-Elizabeth St (East)
174,Pho Flinders Express,2.9,Restaurant,2,-37.8181527857,144.9647075683,22,Flinders St-Elizabeth St (East)
175,Ozyaki,3.9,Restaurant,2,-37.8174395278,144.9648933113,22,Flinders St-Elizabeth St (East)
180,Josie's Food Bar,3.2,Fast Food,2,-37.8062246072,144.9563501403,27,QV Market-Peel St
182,Chickilia,3.8,Restaurant,2,-37.8061072574,144.9557734653,27,QV Market-Peel St
